date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2024-11-04,293.0995294320696,333.38629264473997,278.38890191605105,388.3836833734289,high,not calculated
2024-11-06,268.05883733819167,261.88058195758106,213.0354707815996,310.7256931335625,high,not calculated
2024-11-08,268.05883733819167,208.90963741225397,88.83680742539228,328.98246739911565,high,not calculated
2024-11-13,211.8893349865853,164.87778558992093,90.96417828473369,238.79139289510817,high,not calculated
2024-11-15,198.36016388891508,403.32926841982794,344.5632384457079,462.095298393948,high,not calculated
2024-11-18,167.44921676884903,102.89282357949084,74.66595192580587,131.11969523317578,high,not calculated
2024-11-20,200.64020627931262,221.29306866457028,162.43363282179524,280.1525045073454,high,not calculated
2024-11-22,189.2206799389153,116.17679605205579,86.00975701739132,146.34383508672028,high,not calculated
2024-11-25,219.43180156024513,264.45075412131183,180.30853763609193,348.59297060653176,high,not calculated
2024-11-27,233.81769671249234,230.1921751001199,160.14987385200254,300.23447634823725,high,not calculated
2024-11-29,233.81769671249234,206.81016091604528,115.60421242080275,298.0161094112878,high,not calculated
2024-12-02,242.71103635032244,667.48490141519585,357.03545951829483,977.9343433120969,high,not calculated
2024-12-04,233.3793316028972,200.00346321015422,122.83932760218542,277.16759881812305,high,not calculated
2024-12-06,264.88209941380353,291.13077303480213,224.29388973429056,357.96765633531373,high,not calculated
2024-12-09,264.88209941380353,202.19706085784418,137.6359576426161,266.75816407307224,high,not calculated
2024-12-11,365.09580831716323,301.3184643487643,255.2021264174336,347.4348022800949,high,not calculated
2024-12-13,377.98473198346886,502.8381875679232,434.5580952772012,571.1182798586453,high,not calculated
2024-12-16,457.6998421758786,540.4637949259934,366.573469931146,714.3541199208408,high,not calculated
2024-12-18,604.1859835411841,329.79754403371896,283.2038270934184,376.39126097401953,high,not calculated
2024-12-20,693.3690595929486,769.2559681296356,305.1432735705179,1233.3686626887531,high,not calculated
2024-12-23,780.9033713505261,803.0667301987256,444.13806360423894,1161.9953967932122,high,not calculated
2024-12-25,967.9552620275249,770.3874157232168,595.5212564085407,945.2535750378929,high,not calculated
2024-12-30,1238.6183104459387,1330.4116401606323,1189.0210805931383,1471.8021997281264,high,not calculated
2025-01-01,1227.7252056207692,1778.7328826697865,1505.6830046892583,2051.7827606503147,high,not calculated
2025-01-03,1323.7893456829515,1582.3765609784584,1450.3194838735117,1714.4336380834054,high,not calculated
2025-01-06,1141.8448201880167,666.7183259774955,478.72181768046465,854.7148342745263,high,not calculated
2025-01-08,869.2204598387178,1058.5798359097641,805.3870057945805,1311.772666024948,high,not calculated
2025-01-10,738.5999565279617,784.5780636758273,657.3838288478528,911.7722985038018,high,not calculated
2025-01-13,699.4116277439202,764.5034799305621,655.4673111121505,873.5396487489738,high,not calculated
2025-01-15,699.4116277439202,457.4387763438474,323.7944598476237,591.0830928400711,high,not calculated
2025-01-17,590.3651986332602,549.1533396253712,390.9399469495007,707.3667323012419,high,not calculated
2025-01-20,607.9596633979224,1445.3772167745738,1113.4180666554603,1777.3363668936872,high,not calculated
